valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
CHIMICHAGUA CESACIMICHAGUA - CESAR,CHIMICHAGUA CESACIMICHAGUA CESAR,CHIMICHAGUA CESACIMICHAGUA CESAR,CHIMICHAGUA CESACIMICHAGUA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,20175,CHIMICHAGUA,CESAR,63.46,20011,AGUACHICA,CESAR,49.71,20178,CHIRIGUANÁ,CESAR,48.44,CHIMICHAGUA CESACIMICHAGUA CESAR,CESAR,CHIMICHAGUA CESACIMICHAGUA,CHIMICHAGUA CESACIMICHAGUA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (67.46, margen 13.75)",20175,CHIMICHAGUA,CESAR,67.46,CHIMICHAGUA,20011,AGUACHICA,CESAR,59.43,AGUACHICA,20400,LA JAGUA DE IBIRICO,CESAR,52.44,LA JAGUA DE IBIRICO
CHIMICHAGUA CESACIMICHAGUA CESAR,CHIMICHAGUA CESACIMICHAGUA CESAR,CHIMICHAGUA CESACIMICHAGUA CESAR,CHIMICHAGUA CESACIMICHAGUA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,20175,CHIMICHAGUA,CESAR,63.46,20011,AGUACHICA,CESAR,49.71,20178,CHIRIGUANÁ,CESAR,48.44,CHIMICHAGUA CESACIMICHAGUA CESAR,CESAR,CHIMICHAGUA CESACIMICHAGUA,CHIMICHAGUA CESACIMICHAGUA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (67.46, margen 13.75)",20175,CHIMICHAGUA,CESAR,67.46,CHIMICHAGUA,20011,AGUACHICA,CESAR,59.43,AGUACHICA,20400,LA JAGUA DE IBIRICO,CESAR,52.44,LA JAGUA DE IBIRICO
"CHÍA, CUND",CHIA CUND,CHIA CUND,CHIA CUND,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25175,CHÍA,CUNDINAMARCA,61.54,25178,CHIPAQUE,CUNDINAMARCA,58.82,68176,CHIMA,SANTANDER,57.14,CHIA CUND,,CHIA CUND,CHIA CUND,PENDIENTE,,,,,,"mejor fuzzy insuficiente (61.54, margen 2.71)",25175,CHÍA,CUNDINAMARCA,61.54,CHIA,25168,CHAGUANÍ,CUNDINAMARCA,58.82,CHAGUANI,25178,CHIPAQUE,CUNDINAMARCA,58.82,CHIPAQUE
CIENAGA MAGADALENA,CIENAGA MAGADALENA,CIENAGA MAGADALENA,CIENAGA MAGADALENA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,23189,CIÉNAGA DE ORO,CÓRDOBA,62.5,47189,CIÉNAGA,MAGDALENA,56.0,50350,LA MACARENA,META,55.17,CIENAGA MAGADALENA,,CIENAGA MAGADALENA,CIENAGA MAGADALENA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (62.50, margen 6.50)",23189,CIÉNAGA DE ORO,CÓRDOBA,62.5,CIENAGA DE ORO,47189,CIÉNAGA,MAGDALENA,56.0,CIENAGA,50350,LA MACARENA,META,55.17,LA MACARENA
CIMITARRA SANTANDR,CIMITARRA SANTANDR,CIMITARRA SANTANDR,CIMITARRA SANTANDR,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,68190,CIMITARRA,SANTANDER,66.67,5145,CARAMANTA,ANTIOQUIA,59.26,54553,PUERTO SANTANDER,NORTE DE SANTANDER,58.82,CIMITARRA SANTANDR,,CIMITARRA SANTANDR,CIMITARRA SANTANDR,PENDIENTE,,,,,,"mejor fuzzy insuficiente (66.67, margen 7.41)",41676,SANTA MARÍA,HUILA,68.97,SANTA MARIA,47001,SANTA MARTA,MAGDALENA,68.97,SANTA MARTA,68190,CIMITARRA,SANTANDER,66.67,CIMITARRA
"CIÉNAGA , MAGD .",CIENAGA MAGD,CIENAGA MAGD,CIENAGA MAGD,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,47189,CIÉNAGA,MAGDALENA,73.68,23189,CIÉNAGA DE ORO,CÓRDOBA,69.23,15189,CIÉNEGA,BOYACÁ,63.16,CIENAGA MAGD,,CIENAGA MAGD,CIENAGA MAGD,PENDIENTE,,,,,,"mejor fuzzy insuficiente (73.68, margen 4.12)",47189,CIÉNAGA,MAGDALENA,73.68,CIENAGA,23189,CIÉNAGA DE ORO,CÓRDOBA,69.57,CIENAGA ORO,15189,CIÉNEGA,BOYACÁ,63.16,CIENEGA
CLEMENCIA -BOLVAR,CLEMENCIA BOLVAR,CLEMENCIA BOLVAR,CLEMENCIA BOLVAR,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13222,CLEMENCIA,BOLÍVAR,72.0,5101,CIUDAD BOLÍVAR,ANTIOQUIA,66.67,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,61.11,CLEMENCIA BOLVAR,,CLEMENCIA BOLVAR,CLEMENCIA BOLVAR,PENDIENTE,,,,,,"mejor fuzzy insuficiente (73.33, margen 1.33)",13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,73.33,CARMEN BOLIVAR,13222,CLEMENCIA,BOLÍVAR,72.0,CLEMENCIA,05101,CIUDAD BOLÍVAR,ANTIOQUIA,66.67,CIUDAD BOLIVAR
CLEMENCIA-BOLIVA,CLEMENCIA BOLIVA,CLEMENCIA BOLIVA,CLEMENCIA BOLIVA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13222,CLEMENCIA,BOLÍVAR,72.0,5101,CIUDAD BOLÍVAR,ANTIOQUIA,66.67,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,61.11,CLEMENCIA BOLIVA,,CLEMENCIA BOLIVA,CLEMENCIA BOLIVA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (73.33, margen 1.33)",13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,73.33,CARMEN BOLIVAR,13222,CLEMENCIA,BOLÍVAR,72.0,CLEMENCIA,05101,CIUDAD BOLÍVAR,ANTIOQUIA,66.67,CIUDAD BOLIVAR
COACTIVO HONDA TOLIMA,COACTIVO HONDA TOLIMA,COACTIVO HONDA TOLIMA,COACTIVO HONDA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73349,HONDA,TOLIMA,56.63,68211,CONTRATACIÓN,SANTANDER,53.85,73217,COYAIMA,TOLIMA,51.62,COACTIVO HONDA TOLIMA,TOLIMA,COACTIVO HONDA,COACTIVO HONDA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (60.63, margen 3.49)",73349,HONDA,TOLIMA,60.63,HONDA,05197,COCORNÁ,ANTIOQUIA,57.14,COCORNA,25183,CHOCONTÁ,CUNDINAMARCA,54.55,CHOCONTA
COGUA CUND,COGUA CUND,COGUA CUND,COGUA CUND,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25200,COGUA,CUNDINAMARCA,66.67,25168,CHAGUANÍ,CUNDINAMARCA,55.56,25224,CUCUNUBÁ,CUNDINAMARCA,55.56,COGUA CUND,,COGUA CUND,COGUA CUND,PENDIENTE,,,,,,"mejor fuzzy insuficiente (66.67, margen 11.11)",25200,COGUA,CUNDINAMARCA,66.67,COGUA,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",60.0,BOGOTA D C,08372,JUAN DE ACOSTA,ATLÁNTICO,57.14,JUAN ACOSTA
COMPETENCIA MULTIPLE PALMIRA VALLE,COMPETENCIA MULTIPLE PALMIRA VALLE,COMPETENCIA MULTIPLE PALMIRA VALLE,COMPETENCIA MULTIPLE PALMIRA VALLE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,44.44,73148,CARMEN DE APICALÁ,TOLIMA,43.14,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,40.74,COMPETENCIA MULTIPLE PALMIRA VALLE,VALLE DEL CAUCA,COMPETENCIA MULTIPLE PALMIRA,COMPETENCIA MULTIPLE PALMIRA,PENDIENTE,,,,,,texto demasiado largo para autoaprobación segura,05148,EL CARMEN DE VIBORAL,ANTIOQUIA,45.83,EL CARMEN DE VIBORAL,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,45.45,CARTAGENA CHAIRA,50450,PUERTO CONCORDIA,META,45.45,PUERTO CONCORDIA
CONCORDIA MAGADALENA,CONCORDIA MAGADALENA,CONCORDIA MAGADALENA,CONCORDIA MAGADALENA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5209,CONCORDIA,ANTIOQUIA,62.07,47205,CONCORDIA,MAGDALENA,62.07,5197,COCORNÁ,ANTIOQUIA,51.85,CONCORDIA MAGADALENA,,CONCORDIA MAGADALENA,CONCORDIA MAGADALENA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (62.07, margen 10.22)",47205,CONCORDIA,MAGDALENA,62.07,CONCORDIA,50450,PUERTO CONCORDIA,META,61.11,PUERTO CONCORDIA,05197,COCORNÁ,ANTIOQUIA,51.85,COCORNA
CORDOBA,CORDOBA,CORDOBA,,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13212,CÓRDOBA,BOLÍVAR,100.0,52215,CÓRDOBA,NARIÑO,100.0,63212,CÓRDOBA,QUINDÍO,100.0,CORDOBA,CORDOBA,,,PENDIENTE,,,,,,texto limpio vacío tras normalización,63212,CÓRDOBA,QUINDÍO,100.0,CORDOBA,23419,LOS CÓRDOBAS,CÓRDOBA,100.0,CORDOBAS,70215,COROZAL,SUCRE,71.43,COROZAL
COROZAL DFCOR - 00013705 .,COROZAL DFCOR 00013705,COROZAL DFCOR 00013705,COROZAL DFCOR 00013705,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,70215,COROZAL,SUCRE,48.28,85125,HATO COROZAL,CASANARE,41.18,68217,COROMORO,SANTANDER,40.0,COROZAL DFCOR 00013705,,COROZAL DFCOR 00013705,COROZAL DFCOR 00013705,PENDIENTE,,,,,,"mejor fuzzy insuficiente (48.28, margen 7.10)",85125,HATO COROZAL,CASANARE,52.94,HATO COROZAL,70215,COROZAL,SUCRE,48.28,COROZAL,23419,LOS CÓRDOBAS,CÓRDOBA,41.18,LOS CORDOBAS
COTA CUND,COTA CUND,COTA CUND,COTA CUND,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25214,COTA,CUNDINAMARCA,61.54,68211,CONTRATACIÓN,SANTANDER,57.14,52210,CONTADERO,NARIÑO,55.56,COTA CUND,,COTA CUND,COTA CUND,PENDIENTE,,,,,,"mejor fuzzy insuficiente (61.54, margen 4.40)",08372,JUAN DE ACOSTA,ATLÁNTICO,70.0,JUAN ACOSTA,11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",63.16,BOGOTA D C,25214,COTA,CUNDINAMARCA,61.54,COTA
COTA CUNDINARCA,COTA CUNDINARCA,COTA CUNDINARCA,COTA CUNDINARCA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8141,CANDELARIA,ATLÁNTICO,56.0,76130,CANDELARIA,VALLE DEL CAUCA,56.0,63130,CALARCÁ,QUINDÍO,54.55,COTA CUNDINARCA,,COTA CUNDINARCA,COTA CUNDINARCA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (58.33, margen 2.33)",15763,SOTAQUIRÁ,BOYACÁ,58.33,SOTAQUIRA,76130,CANDELARIA,VALLE DEL CAUCA,56.0,CALENDARIA,15808,TINJACÁ,BOYACÁ,54.55,TINJACA
CUCUNUBA CUNDINAMRCA,CUCUNUBA CUNDINAMRCA,CUCUNUBA CUNDINAMRCA,CUCUNUBA CUNDINAMRCA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25224,CUCUNUBÁ,CUNDINAMARCA,57.14,73124,CAJAMARCA,TOLIMA,48.28,27810,UNIÓN PANAMERICANA,CHOCÓ,47.37,CUCUNUBA CUNDINAMRCA,,CUCUNUBA CUNDINAMRCA,CUCUNUBA CUNDINAMRCA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (57.14, margen 7.14)",25224,CUCUNUBÁ,CUNDINAMARCA,57.14,CUCUNUBA,05154,CAUCASIA,ANTIOQUIA,50.0,CAUCACIA,13655,SAN JACINTO DEL CAUCA,BOLÍVAR,48.65,SAN JACINTO CAUCA
CURUMANI VALLEDUPAR,CURUMANI VALLEDUPAR,CURUMANI VALLEDUPAR,CURUMANI VALLEDUPAR,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,20001,VALLEDUPAR,CESAR,68.97,20228,CURUMANÍ,CESAR,59.26,15660,SAN EDUARDO,BOYACÁ,53.33,CURUMANI VALLEDUPAR,,CURUMANI VALLEDUPAR,CURUMANI VALLEDUPAR,PENDIENTE,,,,,,"mejor fuzzy insuficiente (68.97, margen 9.71)",20001,VALLEDUPAR,CESAR,68.97,VALLEDUPAR,20228,CURUMANÍ,CESAR,59.26,CURUMANI,25154,CARMEN DE CARUPA,CUNDINAMARCA,56.25,CARMEN CARUPA
Cabal Risaralda,CABAL RISARALDA,CABAL RISARALDA,CABAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,52227,CUMBAL,NARIÑO,72.73,25120,CABRERA,CUNDINAMARCA,66.67,68121,CABRERA,SANTANDER,66.67,CABAL RISARALDA,RISARALDA,CABAL,CABAL,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,52227,CUMBAL,NARIÑO,72.73,CUMBAL,15425,MACANAL,BOYACÁ,66.67,MACANAL,19364,JAMBALÓ,CAUCA,66.67,JAMBALO
Cabrera - Stder,CABRERA STDER,CABRERA STDER,CABRERA STDER,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25120,CABRERA,CUNDINAMARCA,70.0,68121,CABRERA,SANTANDER,70.0,25154,CARMEN DE CARUPA,CUNDINAMARCA,55.17,CABRERA STDER,,CABRERA STDER,CABRERA STDER,PENDIENTE,,,,,,"mejor fuzzy insuficiente (70.00, margen 12.86)",68121,CABRERA,SANTANDER,70.0,CABRERA,25154,CARMEN DE CARUPA,CUNDINAMARCA,62.07,CARMEN DE CARUPA,66682,SANTA ROSA DE CABAL,RISARALDA,56.25,SANTA ROSA DE CABAL
Cali JAMUNDÍ CAUCA,CALI JAMUNDI CAUCA,CALI JAMUNDI CAUCA,CALI JAMUNDI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76364,JAMUNDÍ,VALLE DEL CAUCA,73.68,5021,ALEJANDRÍA,ANTIOQUIA,63.64,27006,ACANDÍ,CHOCÓ,55.56,CALI JAMUNDI CAUCA,CAUCA,CALI JAMUNDI,CALI JAMUNDI,PENDIENTE,,,,,,mejor fuzzy contradice departamento detectado,76364,JAMUNDÍ,VALLE DEL CAUCA,73.68,JAMUNDI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,64.0,SANTIAGO CALI,05021,ALEJANDRÍA,ANTIOQUIA,63.64,ALEJANDRIA
Cali Santiago de Cali,CALI SANTIAGO DE CALI,CALI SANTIAGO DE CALI,CALI SANTIAGO DE CALI,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,86.49,70820,SANTIAGO DE TOLÚ,SUCRE,70.27,66682,SANTA ROSA DE CABAL,RISARALDA,65.0,CALI SANTIAGO DE CALI,,CALI SANTIAGO DE CALI,CALI SANTIAGO CALI,PENDIENTE,,,,,,"mejor fuzzy insuficiente (83.87, margen 19.35)",76001,SANTIAGO DE CALI,VALLE DEL CAUCA,83.87,SANTIAGO CALI,13673,SANTA CATALINA,BOLÍVAR,68.75,SANTA CATALINA,66682,SANTA ROSA DE CABAL,RISARALDA,64.71,SANTA ROSA CABAL
Candelaria ( V,CANDELARIA V,CANDELARIA V,CANDELARIA V,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,8141,CANDELARIA,ATLÁNTICO,90.91,76130,CANDELARIA,VALLE DEL CAUCA,90.91,63130,CALARCÁ,QUINDÍO,63.16,CAN DELARIA V,,CAN DELARIA V,CAN DELARIA V,PENDIENTE,,,,,,"mejor fuzzy insuficiente (91.67, margen 25.00)",76130,CANDELARIA,VALLE DEL CAUCA,91.67,CAN DELARIA,27150,CARMEN DEL DARIÉN,CHOCÓ,61.54,CARMEN DARIEN,63130,CALARCÁ,QUINDÍO,60.0,CALARCA
Carmen  de Bolivar,CARMEN DE BOLIVAR,CARMEN DE BOLIVAR,CARMEN DE,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25154,CARMEN DE CARUPA,CUNDINAMARCA,72.0,73148,CARMEN DE APICALÁ,TOLIMA,69.23,27150,CARMEN DEL DARIÉN,CHOCÓ,69.23,CARMEN DE BOLIVAR,BOLIVAR,CARMEN DE,CARMEN,PENDIENTE,,,,,,coincidencia exacta pero contradice departamento detectado (BOLIVAR),54245,EL CARMEN,NORTE DE SANTANDER,100.0,CARMEN,63001,ARMENIA,QUINDÍO,76.92,ARMENIA,13042,ARENAL,BOLÍVAR,74.67,ARENAL
Carmen del Bolivar,CARMEN DEL BOLIVAR,CARMEN DEL BOLIVAR,CARMEN DEL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,73148,CARMEN DE APICALÁ,TOLIMA,74.07,27150,CARMEN DEL DARIÉN,CHOCÓ,74.07,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,70.67,CARMEN DEL BOLIVAR,BOLIVAR,CARMEN DEL,CARMEN,PENDIENTE,,,,,,coincidencia exacta pero contradice departamento detectado (BOLIVAR),54245,EL CARMEN,NORTE DE SANTANDER,100.0,CARMEN,63001,ARMENIA,QUINDÍO,76.92,ARMENIA,13042,ARENAL,BOLÍVAR,74.67,ARENAL
Carolina del Principe - Colombia,CAROLINA DEL PRINCIPE COLOMBIA,CAROLINA DEL PRINCIPE COLOMBIA,CAROLINA DEL PRINCIPE COLOMBIA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,53.06,27150,CARMEN DEL DARIÉN,CHOCÓ,51.06,13667,SAN MARTÍN DE LOBA,BOLÍVAR,50.0,CAROLINA DEL PRINCIPE COLOMBIA,,CAROLINA DEL PRINCIPE COLOMBIA,CAROLINA PRINCIPE COLOMBIA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (79.07, margen 24.52)",05150,CAROLINA,ANTIOQUIA,79.07,CAROLINA PRINCIPE,08573,PUERTO COLOMBIA,ATLÁNTICO,53.66,PUERTO COLOMBIA,76126,CALIMA,VALLE DEL CAUCA,51.28,CALIMA DARIEN
Carrera 6 8-07 * Palacio Municipal de El Espinal .,CARRERA 6 8 07 PALACIO MUNICIPAL DE EL ESPINAL,CARRERA 6 8 07 PALACIO MUNICIPAL DE EL ESPINAL,CARRERA 6 8 07 PALACIO MUNICIPAL DE EL ESPINAL,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,20443,MANAURE BALCÓN DEL CESAR,CESAR,48.57,73148,CARMEN DE APICALÁ,TOLIMA,41.27,50110,BARRANCA DE UPÍA,META,38.71,CARRERA 6 8 07 PALACIO MUNICIPAL DE EL ESPINAL,,CARRERA 6 8 07 PALACIO MUNICIPAL DE EL ESPINAL,CARRERA 6 8 07 PALACIO ESPINAL,PENDIENTE,,,,,,texto demasiado largo para autoaprobación segura,47545,PIJIÑO DEL CARMEN,MAGDALENA,46.81,PIJINO DEL CARMEN,47720,SANTA BÁRBARA DE PINTO,MAGDALENA,46.15,SANTA BARBARA DE PINTO,52835,SAN ANDRÉS DE TUMACO,NARIÑO,44.0,SAN ANDRES DE TUMACO
"Cartagena , D. T. y C. - Bolívar",CARTAGENA D T Y C BOLIVAR,CARTAGENA D T Y C BOLIVAR,CARTAGENA D T Y C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,70.67,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.27,25154,CARMEN DE CARUPA,CUNDINAMARCA,54.55,CARTAGENA D T Y C BOLIVAR,BOLIVAR,CARTAGENA D T Y C,CARTAGENA T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (82.07, margen 8.00)",13001,CARTAGENA DE INDIAS,BOLÍVAR,82.07,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,74.07,CARTAGENA CHAIRA,13673,SANTA CATALINA,BOLÍVAR,72.0,SANTA CATALINA
Cartagena - Bolívar,CARTAGENA BOLIVAR,CARTAGENA BOLIVAR,CARTAGENA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76147,CARTAGO,VALLE DEL CAUCA,75.0,13042,ARENAL,BOLÍVAR,70.67,81736,SARAVENA,ARAUCA,70.59,CARTAGENA BOLIVAR,BOLIVAR,CARTAGENA,CARTAGENA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (80.00, margen 5.00)",13001,CARTAGENA DE INDIAS,BOLÍVAR,80.0,CARTAGENA INDIAS,76147,CARTAGO,VALLE DEL CAUCA,75.0,CARTAGO,13042,ARENAL,BOLÍVAR,74.67,ARENAL
Cartagena - Turbaco,CARTAGENA TURBACO,CARTAGENA TURBACO,CARTAGENA TURBACO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,64.86,13001,CARTAGENA DE INDIAS,BOLÍVAR,61.11,76147,CARTAGO,VALLE DEL CAUCA,58.33,CARTAGENA TURBACO,,CARTAGENA TURBACO,CARTAGENA TURBACO,PENDIENTE,,,,,,"mejor fuzzy insuficiente (72.73, margen 6.06)",18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,72.73,CARTAGENA CHAIRA,13001,CARTAGENA DE INDIAS,BOLÍVAR,66.67,CARTAGENA INDIAS,52835,SAN ANDRÉS DE TUMACO,NARIÑO,58.82,SAN ANDRES TUMACO
Cartagena Cartagena de Indias,CARTAGENA CARTAGENA DE INDIAS,CARTAGENA CARTAGENA DE INDIAS,CARTAGENA CARTAGENA DE INDIAS,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,79.17,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,61.22,50110,BARRANCA DE UPÍA,META,53.33,CARTAGENA CARTAGENA DE INDIAS,,CARTAGENA CARTAGENA DE INDIAS,CARTAGENA CARTAGENA INDIAS,PENDIENTE,,,,,,"mejor fuzzy insuficiente (80.00, margen 13.33)",13001,CARTAGENA DE INDIAS,BOLÍVAR,80.0,CARTAGENA DE INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,69.57,CARTAGENA DEL CHAIRA,25154,CARMEN DE CARUPA,CUNDINAMARCA,57.14,CARMEN DE CARUPA
"Cartagena D , T y C. - Bolívar",CARTAGENA D T Y C BOLIVAR,CARTAGENA D T Y C BOLIVAR,CARTAGENA D T Y C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,70.67,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.27,25154,CARMEN DE CARUPA,CUNDINAMARCA,54.55,CARTAGENA D T Y C BOLIVAR,BOLIVAR,CARTAGENA D T Y C,CARTAGENA T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (82.07, margen 8.00)",13001,CARTAGENA DE INDIAS,BOLÍVAR,82.07,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,74.07,CARTAGENA CHAIRA,13673,SANTA CATALINA,BOLÍVAR,72.0,SANTA CATALINA
"Cartagena de Indias , D. T.",CARTAGENA DE INDIAS D T,CARTAGENA DE INDIAS D T,CARTAGENA DE INDIAS D T,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,90.48,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,69.77,25001,AGUA DE DIOS,CUNDINAMARCA,57.14,CARTAGENA DE INDIAS D T,,CARTAGENA DE INDIAS D T,CARTAGENA INDIAS T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (94.12, margen 23.53)",13001,CARTAGENA DE INDIAS,BOLÍVAR,94.12,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.59,CARTAGENA CHAIRA,41378,LA ARGENTINA,HUILA,60.0,LA ARGENTINA
"Cartagena de Indias , D. T. y C",CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,82.61,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,59.57,25001,AGUA DE DIOS,CUNDINAMARCA,51.28,CARTAGENA DE INDIAS D T Y C,,CARTAGENA DE INDIAS D T Y C,CARTAGENA INDIAS T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (94.12, margen 23.53)",13001,CARTAGENA DE INDIAS,BOLÍVAR,94.12,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.59,CARTAGENA CHAIRA,41378,LA ARGENTINA,HUILA,60.0,LA ARGENTINA
"Cartagena de Indias , D. T. y C.",CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,82.61,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,59.57,25001,AGUA DE DIOS,CUNDINAMARCA,51.28,CARTAGENA DE INDIAS D T Y C,,CARTAGENA DE INDIAS D T Y C,CARTAGENA INDIAS T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (94.12, margen 23.53)",13001,CARTAGENA DE INDIAS,BOLÍVAR,94.12,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.59,CARTAGENA CHAIRA,41378,LA ARGENTINA,HUILA,60.0,LA ARGENTINA
"Cartagena de Indias , D. T. y C. ,",CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,CARTAGENA DE INDIAS D T Y C,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,13001,CARTAGENA DE INDIAS,BOLÍVAR,82.61,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,59.57,25001,AGUA DE DIOS,CUNDINAMARCA,51.28,CARTAGENA DE INDIAS D T Y C,,CARTAGENA DE INDIAS D T Y C,CARTAGENA INDIAS T,PENDIENTE,,,,,,"mejor fuzzy insuficiente (94.12, margen 23.53)",13001,CARTAGENA DE INDIAS,BOLÍVAR,94.12,CARTAGENA INDIAS,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,70.59,CARTAGENA CHAIRA,41378,LA ARGENTINA,HUILA,60.0,LA ARGENTINA
