valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo,raw_norm_2,departamento_detectado,texto_sin_departamento,core_filtrado_2,estado_final_2,codigo_dane_final_2,nombre_dane_final_2,departamento_final_2,metodo_final_2,confianza_final_2,motivo_final_2,final_top_1_codigo,final_top_1_nombre,final_top_1_departamento,final_top_1_score,final_top_1_alias,final_top_2_codigo,final_top_2_nombre,final_top_2_departamento,final_top_2_score,final_top_2_alias,final_top_3_codigo,final_top_3_nombre,final_top_3_departamento,final_top_3_score,final_top_3_alias
"ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON ,",ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,41.94,13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,40.0,27245,EL CARMEN DE ATRATO,CHOCÓ,37.29,ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,,ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,ACACIAS HERMIDES EUSEBIO NOVOA MONDRAGON,PENDIENTE,,,,,,texto demasiado largo para autoaprobación segura,52694,SAN PEDRO DE CARTAGO,NARIÑO,43.33,SAN PEDRO DE CARTAGO,27493,NUEVO BELÉN DE BAJIRÁ,CHOCÓ,42.62,NUEVO BELEN DE BAJIRA,23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,41.27,SAN ANDRES DE SOTAVENTO
ACACIAS META No.0488,ACACIAS META NO 0488,ACACIAS META NO 0488,ACACIAS NO 0488,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50006,ACACÍAS,META,67.64,13780,TALAIGUA NUEVO,BOLÍVAR,48.28,68147,CAPITANEJO,SANTANDER,48.0,ACACIAS META NO 0488,META,ACACIAS NO 0488,ACACIAS 0488,PENDIENTE,,,,,,"mejor fuzzy insuficiente (81.68, margen 21.68)",50006,ACACÍAS,META,81.68,ACACIAS,05154,CAUCASIA,ANTIOQUIA,60.0,CAUCACIA,25295,GACHANCIPÁ,CUNDINAMARCA,54.55,GACHANCIPA
ACACIAS No.0750,ACACIAS NO 0750,ACACIAS NO 0750,ACACIAS NO 0750,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50006,ACACÍAS,META,63.64,13780,TALAIGUA NUEVO,BOLÍVAR,48.28,68147,CAPITANEJO,SANTANDER,48.0,ACACIAS NO 0750,,ACACIAS NO 0750,ACACIAS 0750,PENDIENTE,,,,,,"mejor fuzzy insuficiente (73.68, margen 13.68)",50006,ACACÍAS,META,73.68,ACACIAS,05154,CAUCASIA,ANTIOQUIA,60.0,CAUCACIA,25295,GACHANCIPÁ,CUNDINAMARCA,54.55,GACHANCIPA
ACACIAS No.0872,ACACIAS NO 0872,ACACIAS NO 0872,ACACIAS NO 0872,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,50006,ACACÍAS,META,63.64,13780,TALAIGUA NUEVO,BOLÍVAR,48.28,68147,CAPITANEJO,SANTANDER,48.0,ACACIAS NO 0872,,ACACIAS NO 0872,ACACIAS 0872,PENDIENTE,,,,,,"mejor fuzzy insuficiente (73.68, margen 13.68)",50006,ACACÍAS,META,73.68,ACACIAS,05154,CAUCASIA,ANTIOQUIA,60.0,CAUCACIA,25295,GACHANCIPÁ,CUNDINAMARCA,54.55,GACHANCIPA
ACACIAS-META  CHAVARRO RONDON EDWIN,ACACIAS META CHAVARRO RONDON EDWIN,ACACIAS META CHAVARRO RONDON EDWIN,ACACIAS CHAVARRO RONDON EDWIN,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,47720,SANTA BÁRBARA DE PINTO,MAGDALENA,43.14,50006,ACACÍAS,META,42.89,81591,PUERTO RONDÓN,ARAUCA,42.86,ACACIAS META CHAVARRO RONDON EDWIN,META,ACACIAS CHAVARRO RONDON EDWIN,ACACIAS CHAVARRO RONDON EDWIN,PENDIENTE,,,,,,texto demasiado largo para autoaprobación segura,73148,CARMEN DE APICALÁ,TOLIMA,52.17,CARMEN DE APICALA,50680,SAN CARLOS DE GUAROA,META,48.82,SAN CARLOS DE GUAROA,50245,EL CALVARIO,META,48.0,EL CALVARIO
AGUA DE DIOS CUMDINAMARACA,AGUA DE DIOS CUMDINAMARACA,AGUA DE DIOS CUMDINAMARACA,AGUA DE DIOS CUMDINAMARACA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,25001,AGUA DE DIOS,CUNDINAMARCA,63.16,25328,GUAYABAL DE SÍQUIMA,CUNDINAMARCA,53.33,5659,SAN JUAN DE URABÁ,ANTIOQUIA,51.16,AGUA DE DIOS CUMDINAMARACA,,AGUA DE DIOS CUMDINAMARACA,AGUA DIOS CUMDINAMARACA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (56.25, margen 4.97)",25001,AGUA DE DIOS,CUNDINAMARCA,62.86,AGUA DE DIOS,15317,GUACAMAYAS,BOYACÁ,54.55,GUACAMAYAS,20011,AGUACHICA,CESAR,50.0,AGUACHICA
AL CEJA DEL TAMBO,AL CEJA DEL TAMBO,AL CEJA DEL TAMBO,AL CEJA DEL TAMBO,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,19256,EL TAMBO,CAUCA,64.0,52260,EL TAMBO,NARIÑO,64.0,27245,EL CARMEN DE ATRATO,CHOCÓ,61.11,AL CEJA DEL TAMBO,,AL CEJA DEL TAMBO,AL CEJA TAMBO,PENDIENTE,,,,,,"mejor fuzzy insuficiente (66.67, margen 6.67)",52260,EL TAMBO,NARIÑO,66.67,EL TAMBO,05376,LA CEJA,ANTIOQUIA,60.0,LA CEJA,08433,MALAMBO,ATLÁNTICO,60.0,MALAMBO
ALBANIA -LA GUAJIRA RIOHACHA,ALBANIA LA GUAJIRA RIOHACHA,ALBANIA LA GUAJIRA RIOHACHA,ALBANIA RIOHACHA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,44001,RIOHACHA,LA GUAJIRA,70.67,44035,ALBANIA,LA GUAJIRA,64.87,18029,ALBANIA,CAQUETÁ,60.87,ALBANIA LA GUAJIRA RIOHACHA,LA GUAJIRA,ALBANIA RIOHACHA,ALBANIA RIOHACHA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (74.67, margen 10.38)",44001,RIOHACHA,LA GUAJIRA,74.67,RIOHACHA,23555,PLANETA RICA,CÓRDOBA,64.29,PLANETA RICA,68020,ALBANIA,SANTANDER,60.87,ALBANIA
ALBÁN CUNDINAMRACA,ALBAN CUNDINAMRACA,ALBAN CUNDINAMRACA,ALBAN CUNDINAMRACA,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,18029,ALBANIA,CAQUETÁ,56.0,44035,ALBANIA,LA GUAJIRA,56.0,68020,ALBANIA,SANTANDER,56.0,ALBAN CUNDINAMRACA,,ALBAN CUNDINAMRACA,ALBAN CUNDINAMRACA,PENDIENTE,,,,,,"mejor fuzzy insuficiente (57.14, margen 1.14)",68020,ALBANIA,SANTANDER,56.0,ALBANIA,76400,LA UNIÓN,VALLE DEL CAUCA,53.85,LA UNION,47053,ARACATACA,MAGDALENA,51.85,ARACATACA
ANDALUCIA - V,ANDALUCIA V,ANDALUCIA V,ANDALUCIA V,,,,,,PENDIENTE,requiere sugerencias por similitud/alias,76036,ANDALUCÍA,VALLE DEL CAUCA,90.0,8675,SANTA LUCÍA,ATLÁNTICO,72.73,68385,LANDÁZURI,SANTANDER,60.0,ANDALUCIA V,,ANDALUCIA V,ANDALUCIA V,PENDIENTE,,,,,,"mejor fuzzy insuficiente (90.00, margen 17.27)",76036,ANDALUCÍA,VALLE DEL CAUCA,90.0,ANDALUCIA,68385,LANDÁZURI,SANTANDER,60.0,LANDAZURI,81001,ARAUCA,ARAUCA,58.82,ARAUCA
