"","","","","","","","","","",""
"","Consejo Superior de la Judicatura","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","DIRECTORIO DE DESPACHOS JUDICIALES","","","","","","","","",""
"Consejo Superior de la Judicatura","","","","","","","","","",""
"Fecha: 25/03/2026 11:12:16 AM","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"JURISDICCIÓN","DISTRITO","CIRCUITO","DEPARTAMENTO","MUNICIPIO","CODIGO DESPACHO","NOMBRE DESPACHO","JUEZ/MAGISTRADO DESPACHO","DIRECCIÓN DESPACHO","TELÉFONO","ÁREA"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002213004","DESPACHO 004 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ","WILMAR JOSE FUENTES  CEPEDA","Carrera 52 # 42-73 - Piso 27 Edificio José Félix De Restrepo","4-2328525 ext 1512","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002213005","DESPACHO 005 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA","MARIA CLARA OCAMPO  CORREA","Carrera 52#42-73","4-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002215000","SECRETARÍA GENERAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA","","Nr","NR-","ADMINISTRATIVA"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002221000","SECRETARÍA DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ","","Calle 14#48-32 - Edificio Luis Horacio Montoya Gil, Sede Judicial Poblado.  Piso 6, Oficinas 603, 604 Y 605 (despachos Magistrados), Oficinas 606 Y 607 (secretaría)","4-4087447","ADMINISTRATIVA"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002221001","DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA","JAVIER ENRIQUE CASTILLO  CADENA","Calle 14#48-32 - Oficina 603","4-4017680","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002221002","DESPACHO 002 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ","PUNO ALIRIO CORREAL  BELTRAN","Calle 14#48-32 - Piso 6, Oficina 604","4-4017670","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002221003","DESPACHO 003 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA ","JOSE GILDARDO RAMIREZ  GIRALDO","Calle 14#48-32 - Piso 6","NR-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050002221601","DESPACHO 601 TRANSITORIO DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA","","","4-","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107001","JUZGADO 001 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","JAIME HERRERA NIÑO","Carrera 52 # 42-73 - Piso 18 Edificio José Félix De Restrepo","4-2328525 ext 3001","JUDICIAL"
"ORDINARIA","ANTIOQUIA","ANTIOQUIA (O)","ANTIOQUIA","ANTIOQUIA","050003107002","JUZGADO 002 PENAL DE CIRCUITO ESPECIALIZADO DE ANTIOQUIA ","DIEGO HERRERA LOZANO","Carrera 52 # 42-73 - Piso 18 Edificio José Félix De Restrepo","4-2328525 ext 3002","JUDICIAL"
