date_id,start_val
2023-05-03,8
2023-05-04,207
2023-05-05,723
2023-05-06,944
2023-05-08,1174
2023-05-09,1965
2023-05-10,2652
2023-05-11,2847
2023-05-12,4086
2023-05-15,4989
