date,last_val,entidad_bancaria_id
2023-04-03,9,4
2023-06-19,1,4
2023-06-30,1794,4
2023-07-04,1930,4
2023-07-05,1578,4
2023-07-06,1575,4
2023-07-07,1413,4
2023-07-10,1877,4
2023-07-11,1398,4
2023-07-12,1562,4
