nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
AEROPUERTO GUSTAVO ROJAS PINILLA,AEROPUERTO GUSTAVO ROJAS PINILLA,publica,gov,SAN ANDRÉS,ARCHIPIÉLAGO DE SAN ANDRÉS. PROVIDENCIA Y SANTA CATALINA,NO APLICA,ACTIVA
AEROPUERTO INTERNACIONAL SANTA ANA SA,AEROPUERTO INTERNACIONAL SANTA ANA S.A.,publica,gov,CARTAGO,VALLE DEL CAUCA,NO APLICA,ACTIVA
AEROPUERTO MANDINGA DE LA UNIDAD ADMINISTRATIVA DE CONDOTO,AEROPUERTO MANDINGA DE LA UNIDAD ADMINISTRATIVA DE CONDOTO,publica,gov,CONDOTO,CHOCÓ,NO APLICA,ACTIVA
AEROPUERTO MATECANA,AEROPUERTO MATECAÑA,publica,gov,PEREIRA,RISARALDA,NO APLICA,ACTIVA
AEROPUERTO OLAYA HERRERA,AEROPUERTO OLAYA HERRERA,publica,gov,MEDELLÍN,ANTIOQUIA,NO APLICA,ACTIVA
AFROCAUCANA DE AGUAS SA ESP,AFROCAUCANA DE AGUAS S.A E.S.P,publica,gov,PADILLA,CAUCA,NO APLICA,ACTIVA
AGENCIA CATASTRAL DE CUNDINAMARCA,AGENCIA CATASTRAL DE CUNDINAMARCA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
AGENCIA DE COMERCIALIZACION Y DE COMPETITIVIDAD PARA EL DESARROLLO REGIONAL ACODER,AGENCIA DE COMERCIALIZACION Y DE COMPETITIVIDAD PARA EL DESARROLLO REGIONAL - ACODER,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
AGENCIA DE CUNDINAMARCA PARA LA PAZ Y LA CONVIVENCIA,AGENCIA DE CUNDINAMARCA PARA LA PAZ Y LA CONVIVENCIA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
AGENCIA DE DESARROLLO LOCAL DE ITAGUI,AGENCIA DE DESARROLLO LOCAL DE ITAGÜI,publica,gov,ITAGÜÍ,ANTIOQUIA,NO APLICA,ACTIVA
AGENCIA DE DESARROLLO RURAL,AGENCIA DE DESARROLLO RURAL,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL,ACTIVA
AGENCIA DE EDUCACION POSTSECUNDARIA DE MEDELLIN,AGENCIA DE EDUCACION POSTSECUNDARIA DE MEDELLIN,publica,gov,MEDELLÍN,ANTIOQUIA,NO APLICA,ACTIVA
AGENCIA DE RENOVACION DEL TERRITORIO,AGENCIA DE RENOVACION DEL TERRITORIO,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PRESIDENCIA DE LA REPÚBLICA,ACTIVA
AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS RENTAS Y CONTRIBUCIONES PARAFISCALES,"AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS Y CONTRIBUCIONES PARAFISCALES",publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,HACIENDA Y CRÉDITO PÚBLICO,ACTIVA
AGENCIA DISTRITAL DE INFRAESTRUCTURA DEL DISTRITO DE BARRANQUILLA,AGENCIA DISTRITAL DE INFRAESTRUCTURA DEL DISTRITO DE BARRANQUILLA,publica,gov,BARRANQUILLA,ATLÁNTICO,NO APLICA,ACTIVA
AGENCIA DISTRITAL PARA LA EDUCACION SUPERIOR LA CIENCIA Y LA TECNOLOGIA ATENEA,"AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR, LA CIENCIA Y LA TECNOLOGÍA “ATENEA”",publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
