nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
CREDIANTIOQUIA IDEA SAS,CREDIANTIOQUIA IDEA + S.A.S,publica,gov,MEDELLÍN,ANTIOQUIA,NO APLICA,ACTIVA
CUERPO DE BOMBEROS OFICIAL DE MONTERIA,CUERPO DE BOMBEROS OFICIAL DE MONTERIA,publica,gov,MONTERÍA,CÓRDOBA,NO APLICA,ACTIVA
CUERPO OFICIAL DE BOMBEROS DEL MUNICIPIO DE DOSQUEBRADAS,CUERPO OFICIAL DE BOMBEROS DEL MUNICIPIO DE DOSQUEBRADAS,publica,gov,DOSQUEBRADAS,RISARALDA,NO APLICA,ACTIVA
CURIPA EMPRESA DE SERVICIOS PUBLICOS DE SAN JOAQUIN,CURIPA EMPRESA DE SERVICIOS PUBLICOS DE SAN JOAQUIN,publica,gov,SAN JOAQUÍN,SANTANDER,NO APLICA,ACTIVA
CXAYU CE JXUT,CXAYU CE JXUT,publica,gov,TORIBÍO,CAUCA,NO APLICA,ACTIVA
CXAYUCE JXUT EMPRESA SOCIAL DEL ESTADO,CXAYU'CE JXUT EMPRESA SOCIAL DEL ESTADO,publica,gov,TORIBÍO,CAUCA,SALUD Y PROTECCIÓN SOCIAL,ACTIVA
DE PRIMER NIVEL DE SAN JUAN DE BETULIA,DE PRIMER NIVEL DE SAN JUAN DE BETULIA,publica,gov,SAN JUAN DE BETULIA,SUCRE,NO APLICA,ACTIVA
DE SALUD DE ELIAS HUILA,DE SALUD DE ELIAS - HUILA,publica,gov,ELÍAS,HUILA,NO APLICA,ACTIVA
DE SALUD PAICOL HUILA,DE SALUD PAICOL - HUILA,publica,gov,PAICOL,HUILA,NO APLICA,ACTIVA
DEFENSA CIVIL COLOMBIANA,DEFENSA CIVIL COLOMBIANA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,DEFENSA,ACTIVA
DEFENSORIA DEL PUEBLO,DEFENSORIA DEL PUEBLO,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
DEPARTAMENTAL DE PRIMER NIVEL MORENO Y CLAVIJO,DEPARTAMENTAL DE PRIMER NIVEL MORENO Y CLAVIJO,publica,gov,ARAUCA,ARAUCA,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DE LA DEFENSORIA DEL ESPACIO PUBLICO,DEPARTAMENTO ADMINISTRATIVO DE LA DEFENSORIA DEL ESPACIO PUBLICO,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA,DEPARTAMENTO ADMINISTRATIVO DE LA FUNCION PUBLICA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,FUNCIÓN PÚBLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA,DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PRESIDENCIA DE LA REPÚBLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE VILLA DEL ROSARIO,DEPARTAMENTO ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE VILLA DEL ROSARIO,publica,gov,VILLA DEL ROSARIO,NORTE DE SANTANDER,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTE Y TRANSITO DE CARTAGENA DE INDIAS,DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTE Y TRANSITO DE CARTAGENA DE INDIAS,publica,gov,CARTAGENA DE INDIAS,BOLÍVAR,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DEL SERVICIO CIVIL DISTRITAL,DEPARTAMENTO ADMINISTRATIVO DEL SERVICIO CIVIL DISTRITAL,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DIRECCION NACIONAL DE INTELIGENCIA,DEPARTAMENTO ADMINISTRATIVO DIRECCION NACIONAL DE INTELIGENCIA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,INTELIGENCIA ESTRATÉGICA Y DE CONTRAINTELIGENCIA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO DISTRITAL DE SOSTENIBILIDAD AMBIENTAL,DEPARTAMENTO ADMINISTRATIVO DISTRITAL DE SOSTENIBILIDAD AMBIENTAL,publica,gov,SANTA MARTA,MAGDALENA,NO APLICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,INFORMACIÓN ESTADÍSTICA,ACTIVA
DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,INCLUSION SOCIAL Y RECONCILIACION,ACTIVA
DEPARTAMENTO NACIONAL DE PLANEACION,DEPARTAMENTO NACIONAL DE PLANEACION,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,PLANEACIÓN,ACTIVA
DESPACHO 000 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE QUINDIO,DESPACHO  000 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE QUINDIO,judicial,rama_judicial,ARMENIA,QUINDÍO,ADMINISTRATIVA,
DESPACHO 001 DE LA COMISION NACIONAL DE DISCIPLINA JUDICIAL,DESPACHO 001 DE LA  COMISIÓN NACIONAL DE DISCIPLINA JUDICIAL,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE ANTIOQUIA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE ANTIOQUIA,judicial,rama_judicial,MEDELLÍN,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE BOGOTA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE BOLIVAR,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE BOLÍVAR,judicial,rama_judicial,CARTAGENA,BOLÍVAR,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE BOYACA,DESPACHO 001 DE LA COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE BOYACÁ,judicial,rama_judicial,TUNJA,BOYACÁ,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CALDAS,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CALDAS,judicial,rama_judicial,MANIZALES,CALDAS,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CAQUETA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CAQUETÁ,judicial,rama_judicial,FLORENCIA,CAQUETÁ,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CASANARE,DESPACHO 001 DE LA COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CASANARE,judicial,rama_judicial,YOPAL,CASANARE,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CAUCA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CAUCA,judicial,rama_judicial,POPAYÁN,CAUCA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CHOCO,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CHOCÓ,judicial,rama_judicial,QUIBDÓ,CHOCÓ,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CORDOBA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CÓRDOBA,judicial,rama_judicial,MONTERÍA,CÓRDOBA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE CUNDINAMARCA,DESPACHO 001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE CUNDINAMARCA,judicial,rama_judicial,BOGOTÁ,CUNDINAMARCA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE LA GUAJIRA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE LA GUAJIRA,judicial,rama_judicial,RIOHACHA,LA GUAJIRA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE NARINO,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE NARIÑO,judicial,rama_judicial,PASTO,NARIÑO,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE NORTE DE SANTANDER,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE NORTE DE SANTANDER,judicial,rama_judicial,CÚCUTA,NORTE DE SANTANDER,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE QUINDIO,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE QUINDÍO,judicial,rama_judicial,ARMENIA,QUINDÍO,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE RISARALDA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE RISARALDA,judicial,rama_judicial,PEREIRA,RISARALDA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE SANTANDER,DESPACHO 001 DE LA COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE SANTANDER,judicial,rama_judicial,BUCARAMANGA,SANTANDER,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE SUCRE,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE SUCRE,judicial,rama_judicial,SINCELEJO,SUCRE,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DE TOLIMA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DE TOLIMA,judicial,rama_judicial,IBAGUÉ,TOLIMA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL ATLANTICO,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL ATLÁNTICO,judicial,rama_judicial,BARRANQUILLA,ATLÁNTICO,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL CESAR,DESPACHO 001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL CESAR,judicial,rama_judicial,VALLEDUPAR,CESAR,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL HUILA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL HUILA,judicial,rama_judicial,NEIVA,HUILA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL MAGDALENA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL MAGDALENA,judicial,rama_judicial,SANTA MARTA,MAGDALENA,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL META,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL META,judicial,rama_judicial,VILLAVICENCIO,META,JUDICIAL,
DESPACHO 001 DE LA COMISION SECCIONAL DE DISCIPLINA JUDICIAL DEL VALLE DEL CAUCA,DESPACHO  001 DE LA  COMISIÓN SECCIONAL DE DISCIPLINA JUDICIAL DEL VALLE DEL CAUCA,judicial,rama_judicial,CALI,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA CORTE CONSTITUCIONAL,DESPACHO 001 DE LA CORTE CONSTITUCIONAL,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE BOGOTA,DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE CALI,DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE CALI,judicial,rama_judicial,CALI,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN,DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLÍN,judicial,rama_judicial,MEDELLÍN,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,judicial,rama_judicial,ANTIOQUIA,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE BOGOTA,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CALI,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE CALI,judicial,rama_judicial,CALI,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CARTAGENA,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE CARTAGENA,judicial,rama_judicial,CARTAGENA,BOLÍVAR,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CUCUTA,DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCIÓN DE TIERRAS DEL TRIBUNAL SUPERIOR DE CÚCUTA,judicial,rama_judicial,CÚCUTA,NORTE DE SANTANDER,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,judicial,rama_judicial,ANTIOQUIA,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BARRANQUILLA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BARRANQUILLA,judicial,rama_judicial,BARRANQUILLA,ATLÁNTICO,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BUCARAMANGA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BUCARAMANGA,judicial,rama_judicial,BUCARAMANGA,SANTANDER,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BUGA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE BUGA,judicial,rama_judicial,BUGA,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CARTAGENA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CARTAGENA,judicial,rama_judicial,CARTAGENA,BOLÍVAR,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CUCUTA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CÚCUTA,judicial,rama_judicial,CÚCUTA,NORTE DE SANTANDER,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CUNDINAMARCA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CUNDINAMARCA,judicial,rama_judicial,BOGOTÁ,CUNDINAMARCA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE IBAGUE,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE IBAGUÉ,judicial,rama_judicial,IBAGUÉ,TOLIMA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE MANIZALES,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE MANIZALES,judicial,rama_judicial,MANIZALES,CALDAS,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE PASTO,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE PASTO,judicial,rama_judicial,PASTO,NARIÑO,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE PEREIRA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE PEREIRA,judicial,rama_judicial,PEREIRA,RISARALDA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE POPAYAN,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE POPAYÁN,judicial,rama_judicial,POPAYÁN,CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE SANTA MARTA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE SANTA MARTA,judicial,rama_judicial,SANTA MARTA,MAGDALENA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE TUNJA,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE TUNJA,judicial,rama_judicial,TUNJA,BOYACÁ,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE VILLAVICENCIO,DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE VILLAVICENCIO,judicial,rama_judicial,VILLAVICENCIO,META,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE ARMENIA,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE ARMENIA,judicial,rama_judicial,ARMENIA,QUINDÍO,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE FLORENCIA,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE FLORENCIA,judicial,rama_judicial,FLORENCIA,CAQUETÁ,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE MONTERIA,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE MONTERÍA,judicial,rama_judicial,MONTERÍA,CÓRDOBA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE NEIVA,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE NEIVA,judicial,rama_judicial,NEIVA,HUILA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE RIOHACHA,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE RIOHACHA,judicial,rama_judicial,RIOHACHA,LA GUAJIRA,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE SAN GIL,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE SAN GIL,judicial,rama_judicial,SAN GIL,SANTANDER,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE SINCELEJO,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE SINCELEJO,judicial,rama_judicial,SINCELEJO,SUCRE,JUDICIAL,
DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE VALLEDUPAR,DESPACHO 001 DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE VALLEDUPAR,judicial,rama_judicial,VALLEDUPAR,CESAR,JUDICIAL,
DESPACHO 001 DE LA SALA DE CASACION CIVIL DE LA CORTE SUPREMA DE JUSTICIA,DESPACHO 001 DE LA SALA DE CASACIÓN CIVIL DE LA CORTE SUPREMA DE JUSTICIA,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA DE CASACION LABORAL DE LA CORTE SUPREMA DE JUSTICIA,DESPACHO 001 DE LA SALA DE CASACIÓN LABORAL DE LA CORTE SUPREMA DE JUSTICIA,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA DE CASACION PENAL DE LA CORTE SUPREMA DE JUSTICIA,DESPACHO 001 DE LA SALA DE CASACIÓN PENAL DE LA CORTE SUPREMA DE JUSTICIA,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA DE CONSULTA Y SERVICIO CIVIL DEL CONSEJO DE ESTADO,DESPACHO 001 DE LA SALA DE CONSULTA Y SERVICIO CIVIL DEL CONSEJO DE ESTADO,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE BOGOTA,DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE CALI,DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE CALI,judicial,rama_judicial,CALI,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN,DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLÍN,judicial,rama_judicial,MEDELLÍN,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA ESPECIAL DE INSTRUCCION DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA,DESPACHO 001 DE LA SALA ESPECIAL DE INSTRUCCIÓN DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA ESPECIAL DE PRIMERA INSTANCIA DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA,DESPACHO 001 DE LA SALA ESPECIAL DE PRIMERA INSTANCIA DE LA SALA PENAL DE LA CORTE SUPREMA DE JUSTICIA,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE BOGOTA,DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCIÓN DE DOMINIO DEL TRIBUNAL SUPERIOR DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCIÓN DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLÍN,judicial,rama_judicial,MEDELLÍN,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE ANTIOQUIA,judicial,rama_judicial,ANTIOQUIA,ANTIOQUIA,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BARRANQUILLA,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BARRANQUILLA,judicial,rama_judicial,BARRANQUILLA,ATLÁNTICO,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BOGOTA,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BOGOTÁ,judicial,rama_judicial,BOGOTÁ,BOGOTÁ,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BUCARAMANGA,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BUCARAMANGA,judicial,rama_judicial,BUCARAMANGA,SANTANDER,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BUGA,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE BUGA,judicial,rama_judicial,BUGA,VALLE DEL CAUCA,JUDICIAL,
DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE CALI,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE CALI,judicial,rama_judicial,CALI,VALLE DEL CAUCA,JUDICIAL,
