nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,True,ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,SALUD Y PROTECCIÓN SOCIAL,ACTIVA
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD ADRES,False,,,,,,,
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD SGSSS,False,,,,,,,
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD SGSSS ADRES,False,,,,,,,
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD SGSSS ADRES SONIA RODRIGUEZ FORERO,False,,,,,,,
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUDADRES,False,,,,,,,
ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERL DE SEGURIDAD SOCIAL EN SALUD,False,,,,,,,
ADMINISTRADORA DEL MONOPOLIO RENTISTICO DE JUEGOS DE SUERTE Y AZAR COLJUEGOS EICE,False,,,,,,,
ADMINISTRATIVA DE FLORENCIA CAQUETA,False,,,,,,,
ADMINISTRATIVO DE CUNDINAMARCA,False,,,,,,,
ADMINISTRATIVO DE DE TRANSITO Y DEPARTAMENTO TRANSPORTE CARTAGENA DATT,False,,,,,,,
ADMINISTRATIVO DE LA COMISION DE REGULACION DE COMUNICACIONES CRC,False,,,,,,,
ADMINISTRATIVO DE LA COMISION DE REGULACION DE COMUNICACIONES CRC CON,False,,,,,,,
ADMINISTRATIVO DE TRANSITO TRANSPORTE DE CARTAGENA DATT,False,,,,,,,
ADMINISTRATIVO DE TRANSITO Y DEPARTAMENTO DATT TRANSPORTE DE CARTAGENA,False,,,,,,,
ADMINISTRATIVO DE TRANSITO Y TRANSPORTE DE CARTAGENA DATT,False,,,,,,,
ADMINISTRATIVO DE TRANSPORTE DE CARTAGENA,False,,,,,,,
ADMINISTRATIVO DE TRANSPORTE DE CARTAGENA DATT,False,,,,,,,
ADMINISTRATIVO TRANSPORTE DE CARTAGENA,False,,,,,,,
ADMON JUD BOGOTA DEP JUD COACTIV,False,,,,,,,
ADO JUZGADO SESENTA DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA DC,False,,,,,,,
ADRES,False,,,,,,,
ADRES ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,False,,,,,,,
ADRES RECURSOS COBRO COACTIVO,False,,,,,,,
AERONAUTICA CIVIL,False,,,,,,,
AERONAUTICA CIVIL UNIDAD ADMINISTRATIVA ESPECIAL,False,,,,,,,
AGENCIA NACIONAL DE MINERIA,True,AGENCIA NACIONAL DE MINERIA,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,MINAS Y ENERGIA,ACTIVA
AGENCIA NACIONAL DE MINERIA ANM,False,,,,,,,
AGENCIA NACIONAL DE TIERRAS,True,AGENCIA NACIONAL DE TIERRAS,publica,gov,BOGOTÁ. D.C.,BOGOTÁ. D.C.,AGROPECUARIO PESQUERO Y DE DESARROLLO RURAL,ACTIVA
AGUATERRITORIO DE VIDA,False,,,,,,,
AICAIDLA MUNICIPAI IBAGUE,False,,,,,,,
AICALDIA MUNICIPAL IBAGUE,False,,,,,,,
AICARIA DE SAN JOSE DE CUCUTA,False,,,,,,,
AKALDIA DISTRITAL DE BARRANCABERMEJA,False,,,,,,,
AKCAKDUA DE LA CEJA EL TAMBO,False,,,,,,,
AL ALCALDIA DE VALLEDUPAR,False,,,,,,,
AL CALDIA DE SOGAMOSO,False,,,,,,,
ALACADIA MUNICIPAL DE TONA,False,,,,,,,
ALACALDIA DE ACACIAS,False,,,,,,,
ALACALDIA DE BARRANQUILLA,False,,,,,,,
ALACALDIA DE FLORENCIA,False,,,,,,,
ALACALDIA DE GIRON,False,,,,,,,
ALACALDIA DE GRANADA,False,,,,,,,
ALACALDIA DE MONTERIA,False,,,,,,,
ALACALDIA DE VILLA DEL ROSARIO,False,,,,,,,
ALACALDIA DE VILLA ROSARIO,False,,,,,,,
ALACALDIA MUNICIPAL DE GIRON,False,,,,,,,
ALACALDIA MUNICIPAL DE IBAGUE,False,,,,,,,
ALACALDIA MUNICIPAL DE PALMIRA,False,,,,,,,
ALACALDIA MUNICIPAL DE PUERTO COLOMBIA,False,,,,,,,
ALACALDIA MUNICIPAL PUERTO COLOMBIA,False,,,,,,,
ALACANDIA DE ACACIAS,False,,,,,,,
ALACLDIA MINICIPAL DE GIRON,False,,,,,,,
ALACLDIA MUNICIPAL DE GIRON,False,,,,,,,
ALACLDIA MUNICIPAL DE LA CEJA DEL TAMBO,False,,,,,,,
ALACLDIA MUNICIPAL DE PIEDECUESTA,False,,,,,,,
ALALCALDIA DE BARRANQUILLA,False,,,,,,,
ALALDIA DE MONTERIA SECRETARIA DE TRANSITO Y TRANSPORTE,False,,,,,,,
ALALDIA DE NEIVA,False,,,,,,,
ALALDIA DE VALLEDUPAR,False,,,,,,,
ALALDIA DISTRITAL DE BARRANCABERMEJA,False,,,,,,,
ALALDIA MUNICIPAL DE GIRON,False,,,,,,,
ALC,False,,,,,,,
ALCA,False,,,,,,,
ALCA ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,False,,,,,,,
ALCA DIA MUNICIPAL DE VILLA DEL ROSARIO,False,,,,,,,
ALCA DIA MUNICIPAL IBAGUE,False,,,,,,,
ALCADIA DE ACACIAS,False,,,,,,,
ALCADIA DE AGUAZUL,False,,,,,,,
ALCADIA DE BELLO,False,,,,,,,
ALCADIA DE CARTAGENA DE INDIAS,False,,,,,,,
ALCADIA DE DOSQUEBRADAS,False,,,,,,,
ALCADIA DE GRANADA,False,,,,,,,
ALCADIA DE HONDA TOLIMA,False,,,,,,,
ALCADIA DE IBAQUE,False,,,,,,,
ALCADIA DE ITAGUI,False,,,,,,,
ALCADIA DE JAMUNDI,False,,,,,,,
ALCADIA DE LA CEJA DEL TAMBO,False,,,,,,,
ALCADIA DE MONTERIA,False,,,,,,,
ALCADIA DE NEIVA,False,,,,,,,
ALCADIA DE PALMIRA,False,,,,,,,
ALCADIA DE PIEDECUESTA,False,,,,,,,
ALCADIA DE PUERTO COLOMBIA,False,,,,,,,
ALCADIA DE SINCELEJO,False,,,,,,,
ALCADIA DE SOACHA CUNDINAMARACA,False,,,,,,,
ALCADIA DE VILLA DEL ROSARIO,False,,,,,,,
ALCADIA DE VILLAVICENCIO,False,,,,,,,
ALCADIA DE YOPAL,False,,,,,,,
ALCADIA MINICIPAL DE GIRON,False,,,,,,,
ALCADIA MUNICIPAL DE BELLO,False,,,,,,,
ALCADIA MUNICIPAL DE GIRON,False,,,,,,,
ALCADIA MUNICIPAL DE IBAGUE,False,,,,,,,
ALCADIA MUNICIPAL DE PIEDECUESTA,False,,,,,,,
ALCADIA MUNICIPAL DE YOPAL,False,,,,,,,
ALCADIA MUNICIPAL PUERTO COLOMBIA,False,,,,,,,
