tabla,columna
tipo_identificacion,id_conexion
tipo_identificacion_aud,tipo
tipo_identificacion_aud,rev
tipo_identificacion_aud,revtype
tipo_identificacion_aud,id_conexion
trabajo,id
trabajo,created_at
trabajo,estado
trabajo,exitosos
trabajo,fallidos
trabajo,finished_at
trabajo,id_externo
trabajo,last_modified_at
trabajo,sub_tipo
trabajo,tipo
trabajo,total
user_authority,user_id
user_authority,authority_name
users,id
users,deleted
users,apellido
users,attemps
users,create_at
users,email
users,enabled
users,foto
users,locked
users,nombre
users,password
users,username
users_tipo_emb,usuario_id
users_tipo_emb,tipo_emb_id
